NO,TC No.,Check Object 1,Check Object 2,Check content,Pre-condition,Test Data,Steps,Expected Result,Test IT Result,Executed Date,SQA,Core IT,Detail IT,Evidence,Test UT Result,Status fix bug,Executed Date DEV,DEV,Note
,REZIL_MINSP005_TC_014,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Nhập Max boundary,N/A,Value: 99999,"1. Nhập 99999
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_015,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Nhập dưới Min (BVA),N/A,Value: -0.1,"1. Nhập dưới Min
2. Focus out",Xóa input đã nhập. Hiển thị label 入力範囲：0〜99999.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_016,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Nhập trên Max (BVA),N/A,Value: 99999.1,"1. Nhập trên Max
2. Focus out",Xóa input đã nhập. Hiển thị label báo lỗi phạm vi.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_017,Field Validation,chk_hv_panel_demand_setpoint_num (デマンド指示値),Nhập text/ký tự đặc biệt,N/A,Value: abc@!#,"1. Nhập ký tự abc
2. Focus out",Không cho phép nhập hoặc bị xóa đi lập tức. Bàn phím số phải được bật default.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_018,Field Validation,chk_energy_usage1_num (使用電力量1),Nhập hợp lệ (EP),N/A,Value: 10,"1. Nhập 10 vào chk_energy_usage1_num (使用電力量1)
2. Focus out","Giữ nguyên giá trị nhập. Format theo Decimal(6,3).",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_019,Field Validation,chk_energy_usage1_num (使用電力量1),Bỏ trống (Required),N/A,Trống,"1. Xóa trắng chk_energy_usage1_num (使用電力量1)
2. Focus out","Trường bị viền đỏ, hiển thị icon 必須. Tiến độ phòng không hoàn thành.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_020,Field Validation,chk_energy_usage1_num (使用電力量1),Nhập Min boundary,N/A,Value: 0,"1. Nhập 0
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_021,Field Validation,chk_energy_usage1_num (使用電力量1),Nhập Max boundary,N/A,Value: 999999,"1. Nhập 999999
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_022,Field Validation,chk_energy_usage1_num (使用電力量1),Nhập dưới Min (BVA),N/A,Value: -0.1,"1. Nhập dưới Min
2. Focus out",Xóa input đã nhập. Hiển thị label 入力範囲：0〜999999.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_023,Field Validation,chk_energy_usage1_num (使用電力量1),Nhập trên Max (BVA),N/A,Value: 999999.1,"1. Nhập trên Max
2. Focus out",Xóa input đã nhập. Hiển thị label báo lỗi phạm vi.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_024,Field Validation,chk_energy_usage1_num (使用電力量1),Nhập text/ký tự đặc biệt,N/A,Value: abc@!#,"1. Nhập ký tự abc
2. Focus out",Không cho phép nhập hoặc bị xóa đi lập tức. Bàn phím số phải được bật default.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_025,Field Validation,chk_active_energy_p1_num (有効電力量P1),Nhập hợp lệ (EP),N/A,Value: 10,"1. Nhập 10 vào chk_active_energy_p1_num (有効電力量P1)
2. Focus out","Giữ nguyên giá trị nhập. Format theo Decimal(6,3).",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_026,Field Validation,chk_active_energy_p1_num (有効電力量P1),Bỏ trống (Required),N/A,Trống,"1. Xóa trắng chk_active_energy_p1_num (有効電力量P1)
2. Focus out","Trường bị viền đỏ, hiển thị icon 必須. Tiến độ phòng không hoàn thành.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_027,Field Validation,chk_active_energy_p1_num (有効電力量P1),Nhập Min boundary,N/A,Value: 0,"1. Nhập 0
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_028,Field Validation,chk_active_energy_p1_num (有効電力量P1),Nhập Max boundary,N/A,Value: 999999,"1. Nhập 999999
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_029,Field Validation,chk_active_energy_p1_num (有効電力量P1),Nhập dưới Min (BVA),N/A,Value: -0.1,"1. Nhập dưới Min
2. Focus out",Xóa input đã nhập. Hiển thị label 入力範囲：0〜999999.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_030,Field Validation,chk_active_energy_p1_num (有効電力量P1),Nhập trên Max (BVA),N/A,Value: 999999.1,"1. Nhập trên Max
2. Focus out",Xóa input đã nhập. Hiển thị label báo lỗi phạm vi.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_031,Field Validation,chk_active_energy_p1_num (有効電力量P1),Nhập text/ký tự đặc biệt,N/A,Value: abc@!#,"1. Nhập ký tự abc
2. Focus out",Không cho phép nhập hoặc bị xóa đi lập tức. Bàn phím số phải được bật default.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_032,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Nhập hợp lệ (EP),N/A,Value: 10,"1. Nhập 10 vào chk_reactive_energy_p2_num (無効電力量P2)
2. Focus out","Giữ nguyên giá trị nhập. Format theo Decimal(6,3).",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_033,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Bỏ trống (Required),N/A,Trống,"1. Xóa trắng chk_reactive_energy_p2_num (無効電力量P2)
2. Focus out","Trường bị viền đỏ, hiển thị icon 必須. Tiến độ phòng không hoàn thành.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_034,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Nhập Min boundary,N/A,Value: 0,"1. Nhập 0
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_035,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Nhập Max boundary,N/A,Value: 999999,"1. Nhập 999999
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_036,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Nhập dưới Min (BVA),N/A,Value: -0.1,"1. Nhập dưới Min
2. Focus out",Xóa input đã nhập. Hiển thị label 入力範囲：0〜999999.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_037,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Nhập trên Max (BVA),N/A,Value: 999999.1,"1. Nhập trên Max
2. Focus out",Xóa input đã nhập. Hiển thị label báo lỗi phạm vi.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_038,Field Validation,chk_reactive_energy_p2_num (無効電力量P2),Nhập text/ký tự đặc biệt,N/A,Value: abc@!#,"1. Nhập ký tự abc
2. Focus out",Không cho phép nhập hoặc bị xóa đi lập tức. Bàn phím số phải được bật default.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_039,Field Validation,chk_voltage_rs_num (電圧(V) R-S),Nhập hợp lệ (EP),N/A,Value: 5010,"1. Nhập 5010 vào chk_voltage_rs_num (電圧(V) R-S)
2. Focus out",Giữ nguyên giá trị nhập. Format theo Integer.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_040,Field Validation,chk_voltage_rs_num (電圧(V) R-S),Nhập Min boundary,N/A,Value: 5000,"1. Nhập 5000
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_041,Field Validation,chk_voltage_rs_num (電圧(V) R-S),Nhập Max boundary,N/A,Value: 8000,"1. Nhập 8000
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_042,Field Validation,chk_voltage_rs_num (電圧(V) R-S),Nhập dưới Min (BVA),N/A,Value: 4999,"1. Nhập dưới Min
2. Focus out",Xóa input đã nhập. Hiển thị label 入力範囲：5000〜8000.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_043,Field Validation,chk_voltage_rs_num (電圧(V) R-S),Nhập trên Max (BVA),N/A,Value: 8001,"1. Nhập trên Max
2. Focus out",Xóa input đã nhập. Hiển thị label báo lỗi phạm vi.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_044,Field Validation,chk_voltage_rs_num (電圧(V) R-S),Nhập text/ký tự đặc biệt,N/A,Value: abc@!#,"1. Nhập ký tự abc
2. Focus out",Không cho phép nhập hoặc bị xóa đi lập tức. Bàn phím số phải được bật default.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_045,Field Validation,chk_amp_r_num (電流(A) R),Nhập hợp lệ (EP),N/A,Value: 10,"1. Nhập 10 vào chk_amp_r_num (電流(A) R)
2. Focus out","Giữ nguyên giá trị nhập. Format theo Decimal(3,2).",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_046,Field Validation,chk_amp_r_num (電流(A) R),Nhập Min boundary,N/A,Value: 0,"1. Nhập 0
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_047,Field Validation,chk_amp_r_num (電流(A) R),Nhập Max boundary,N/A,Value: 600,"1. Nhập 600
2. Focus out",Giữ nguyên giá trị nhập. Format đúng chuẩn.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_048,Field Validation,chk_amp_r_num (電流(A) R),Nhập dưới Min (BVA),N/A,Value: -0.1,"1. Nhập dưới Min
2. Focus out",Xóa input đã nhập. Hiển thị label 入力範囲：0〜600.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_049,Field Validation,chk_amp_r_num (電流(A) R),Nhập trên Max (BVA),N/A,Value: 600.1,"1. Nhập trên Max
2. Focus out",Xóa input đã nhập. Hiển thị label báo lỗi phạm vi.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_050,Field Validation,chk_amp_r_num (電流(A) R),Nhập text/ký tự đặc biệt,N/A,Value: abc@!#,"1. Nhập ký tự abc
2. Focus out",Không cho phép nhập hoặc bị xóa đi lập tức. Bàn phím số phải được bật default.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_051,Complete,顧客確認へ,Submit thiếu field,Có field required chưa nhập,N/A,1. Bấm nút 顧客確認へ,"Báo lỗi E-MSG. Đánh dấu mark đỏ ở thanh tab, sidebar chỉ tới field thiếu.",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_052,Complete,顧客確認へ,Submit thành công,Nhập full field required,N/A,1. Bấm nút 顧客確認へ,"Update local vào DB.
Tạo data report (nếu chưa có) dạng HJSxxxx.
Di chuyển sang MOB-013.
[SQL Check]:
SELECT * FROM report WHERE inspection_id = <current_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_053,Field Validation,Extra_Field_7,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_054,Field Validation,Extra_Field_7,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_055,Field Validation,Extra_Field_7,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_056,Field Validation,Extra_Field_7,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_057,Field Validation,Extra_Field_7,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_058,Field Validation,Extra_Field_8,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_059,Field Validation,Extra_Field_8,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_060,Field Validation,Extra_Field_8,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_061,Field Validation,Extra_Field_8,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_062,Field Validation,Extra_Field_8,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_063,Field Validation,Extra_Field_9,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_064,Field Validation,Extra_Field_9,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_065,Field Validation,Extra_Field_9,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_066,Field Validation,Extra_Field_9,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_067,Field Validation,Extra_Field_9,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_068,Field Validation,Extra_Field_10,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_069,Field Validation,Extra_Field_10,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_070,Field Validation,Extra_Field_10,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_071,Field Validation,Extra_Field_10,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_072,Field Validation,Extra_Field_10,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_073,Field Validation,Extra_Field_11,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_074,Field Validation,Extra_Field_11,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_075,Field Validation,Extra_Field_11,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_076,Field Validation,Extra_Field_11,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_077,Field Validation,Extra_Field_11,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_078,Field Validation,Extra_Field_12,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_079,Field Validation,Extra_Field_12,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_080,Field Validation,Extra_Field_12,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_081,Field Validation,Extra_Field_12,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_082,Field Validation,Extra_Field_12,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_083,Field Validation,Extra_Field_13,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_084,Field Validation,Extra_Field_13,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_085,Field Validation,Extra_Field_13,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_086,Field Validation,Extra_Field_13,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_087,Field Validation,Extra_Field_13,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_088,Field Validation,Extra_Field_14,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_089,Field Validation,Extra_Field_14,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_090,Field Validation,Extra_Field_14,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_091,Field Validation,Extra_Field_14,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_092,Field Validation,Extra_Field_14,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_093,Field Validation,Extra_Field_15,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_094,Field Validation,Extra_Field_15,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_095,Field Validation,Extra_Field_15,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_096,Field Validation,Extra_Field_15,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_097,Field Validation,Extra_Field_15,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_098,Field Validation,Extra_Field_16,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_099,Field Validation,Extra_Field_16,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_100,Field Validation,Extra_Field_16,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_101,Field Validation,Extra_Field_16,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_102,Field Validation,Extra_Field_16,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_103,Field Validation,Extra_Field_17,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_104,Field Validation,Extra_Field_17,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_105,Field Validation,Extra_Field_17,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_106,Field Validation,Extra_Field_17,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_107,Field Validation,Extra_Field_17,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_108,Field Validation,Extra_Field_18,Nhập hợp lệ,N/A,Value: 123,1. Nhập 123,"Lưu thành công.
[SQL Check]:
SELECT * FROM inspection i INNER JOIN plan p ON i.id = p.inspection_id WHERE i.id = <current_inspection_id>",,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_109,Field Validation,Extra_Field_18,Nhập < Min,N/A,Value: -1,1. Nhập -1,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_110,Field Validation,Extra_Field_18,Nhập > Max,N/A,Value: 9999,1. Nhập 9999,Báo lỗi range.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_111,Field Validation,Extra_Field_18,Bỏ trống,N/A,Trống,1. Xóa rỗng,Báo lỗi required.,,,SQA_Name,,,,,,,,
,REZIL_MINSP005_TC_112,Field Validation,Extra_Field_18,Nhập ký tự,N/A,abc,1. Nhập abc,Không nhận ký tự chữ.,,,SQA_Name,,,,,,,,
